,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 2, 0, 3, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",2
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
,throw,hand,openhand1,openhand2,openhand3,openhand4,discard1,discard2,discard3,discard4,kong
